1 34 89
2 95 12
3 98 5
4 61 3
5 37 52
6 28 56
7 60 81
8 44 2
9 47 28
10 29 19
11 1 82
12 57 10
13 73 11
14 22 94
15 73 82
16 82 25
17 25 33
18 38 52
19 26 40
20 87 4
21 29 39
22 56 31
23 82 47
24 9 26
25 91 97
26 33 90
27 24 37
28 75 45
29 90 42
30 56 97
31 35 43
32 17 21
33 33 45
34 4 68
35 6 55
36 31 26
37 50 6
38 96 72
39 80 15
40 70 72
41 84 61
42 95 47
43 52 2
44 60 4
45 59 40
46 90 33
47 31 85
48 73 9
49 34 40
50 98 62
51 83 43
52 79 5
53 13 54
54 93 88
55 38 41
56 85 28
57 10 57
58 77 14
59 80 74
60 41 47
61 34 41
62 2 52
63 71 23
64 69 77
65 76 12
66 37 92
67 76 28
68 98 42
69 3 59
70 1 75
71 13 37
72 21 57
73 20 78
74 74 45
75 28 85
76 45 83
77 43 33
78 95 24
79 35 41
80 49 88
81 56 68
82 96 18
83 56 2
84 20 15
85 54 20
86 21 6
87 19 90
88 78 30
89 42 98
90 79 38
91 18 22
92 73 53
93 66 20
94 46 56
95 9 27
96 1 56
97 88 7
98 6 25
99 30 89
100 13 94
